Hebius popei	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	popei	SCHMIDT	1925	Pope's Keelback	No	No
Hebius pryeri	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	pryeri	BOULENGER	1887	Pryer's Keelback	No	No
Hebius sanguineum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	sanguineum	SMEDLEY	1931	Cameroon Keelback	No	No
Hebius sarasinorum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	sarasinorum	BOULENGER	1896	Sarasins Keelba	No	No
Hebius sarawacense	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	sarawacense	GNTHER	1872	Sarawak Keelback	No	No
Hebius sauteri	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	sauteri	BOULENGER	1909	Kosempo Keelback	No	No
Herpetoreas sieboldii	Natricidae, Colubroidea, Serpentes (snakes)	Herpetoreas	sieboldii	GNTHER	1860	Siebolds Keelback, Sikkim Keelback	No	No
Amphiesma stolatum	Natricidae, Colubroidea, Serpentes (snakes)	Amphiesma	stolatum	LINNAEUS	1758	Buff Striped Keelback	No	No
Hebius venningi	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	venningi	WALL	1910	Chin Hills Keelback	No	No
Hebius vibakari	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	vibakari	BOIE	1826	Japanese Keelback	No	No
Hebius viperinum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	viperinum	SCHENKEL	1901		No	No
Hebius xenura	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	xenura	WALL	1907	Wall's Keelback	No	No
Amphiesmoides ornaticeps	Natricidae, Colubroidea, Serpentes (snakes)	Amphiesmoides	ornaticeps	WERNER	1924	Werner's Ornate Snake	No	No
Amplorhinus multimaculatus	Lamprophiidae, Pseudoxyrhophiinae (Amplorhininae), Serpentes (snakes)	Amplorhinus	multimaculatus	SMITH	1847	Many-spotted Snake, Cape Reed Snake	No	No
Anilius scytale	Aniliidae, Henophidia, Serpentes (snakes)	Anilius	scytale	LINNAEUS	1758	Coral Cylinder Snakes	No	No
Anomalepis aspinosus	Anomalepididae, Typhlopoidea, Serpentes (snakes)	Anomalepis	aspinosus	TAYLOR	1939	Taylor's Peru Blind Snake	No	No
Anomalepis colombia	Anomalepididae, Typhlopoidea, Serpentes (snakes)	Anomalepis	colombia	MARX	1953		No	No
Anomalepis flavapices	Anomalepididae, Typhlopoidea, Serpentes (snakes)	Anomalepis	flavapices	PETERS	1957	Ecuador Blind Snake	No	No
Anomalepis mexicanus	Anomalepididae, Typhlopoidea, Serpentes (snakes)	Anomalepis	mexicanus	JAN	1860	Mexican Blind Snake	No	No
Anomochilus leonardi	Anomochilidae, Henophidia, Serpentes (snakes)	Anomochilus	leonardi	SMITH	1940	Leonard's Pipe Snake, Leonard's Burrowing Snake	No	No
Anomochilus weberi	Anomochilidae, Henophidia, Serpentes (snakes)	Anomochilus	weberi	LIDTH DE JEUDE	1890	Webers Cylinder Snake	No	No
Anoplohydrus aemulans	Natricidae, Colubroidea, Serpentes (snakes)	Anoplohydrus	aemulans	WERNER	1909		No	No
Antaresia childreni	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Antaresia	childreni	GRAY	1842	Children's Python	No	No
Antaresia maculosa	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Antaresia	maculosa	PETERS	1873	Eastern Small-blotched Python, Eastern Childrens Python	No	No
Antaresia perthensis	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Antaresia	perthensis	STULL	1932	Pygmy Python	No	No
Antaresia stimsoni	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Antaresia	stimsoni	SMITH	1985	Large-blotched Python, Stimsons Python	No	No
Caraiba andreae	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Caraiba	andreae	REINHARDT & LTKEN	1862	BLACK AND WHITE RACER	No	No
Hypsirhynchus parvifrons	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	parvifrons	COPE	1862	Cope's Antilles Snake, Hispaniolan black racer	No	No
Aparallactus capensis	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	capensis	SMITH	1849	Cape Centipede Eater	No	No
