Aspidites ramsayi	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Aspidites	ramsayi	MACLEAY	1882	Woma Python	No	No
Aspidomorphus lineaticollis	Elapidae, Serpentes (snakes)	Aspidomorphus	lineaticollis	WERNER	1903	Striped crown snake	Yes	No
Aspidomorphus muelleri	Elapidae, Serpentes (snakes)	Aspidomorphus	muelleri	SCHLEGEL	1837	Mllers crown snake	Yes	No
Aspidomorphus schlegelii	Elapidae, Serpentes (snakes)	Aspidomorphus	schlegelii	GNTHER	1872	Schlegels crown snake	Yes	No
Aspidura brachyorrhos	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	brachyorrhos	BOIE	1827	Boie's Rough-sided Snake	No	No
Aspidura copei	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	copei	GNTHER	1864		No	No
Aspidura deraniyagalae	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	deraniyagalae	GANS & FETCHO	1982	Sri Lanka Rough-sided Snake	No	No
Aspidura drummondhayi	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	drummondhayi	BOULENGER	1904	Drummond-Hay's Rough-sided Snake	No	No
Aspidura guentheri	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	guentheri	FERGUSON	1876	Gnther's Rough-sided Snake	No	No
Aspidura trachyprocta	Natricidae, Colubroidea, Serpentes (snakes)	Aspidura	trachyprocta	COPE	1860	Common Rough-sided Snake	No	No
Hydrophis stokesii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	stokesii	GRAY	1846	Stokes seasnake	Yes	Yes
Atheris acuminata	Viperidae, Viperinae, Serpentes (snakes)	Atheris	acuminata	BROADLEY	1998	Acuminate bush viper	Yes	Yes
Atheris broadleyi	Viperidae, Viperinae, Serpentes (snakes)	Atheris	broadleyi	LAWSON	1999		Yes	Yes
Atheris ceratophora	Viperidae, Viperinae, Serpentes (snakes)	Atheris	ceratophora	WERNER	1896	Usambara-Buschviper, Gehrnte Buschviper	Yes	Yes
Atheris chlorechis	Viperidae, Viperinae, Serpentes (snakes)	Atheris	chlorechis	PEL	1851		Yes	Yes
Atheris desaixi	Viperidae, Viperinae, Serpentes (snakes)	Atheris	desaixi	ASHE	1968	Ashe's Bush Viper	Yes	Yes
Atheris hispida	Viperidae, Viperinae, Serpentes (snakes)	Atheris	hispida	LAURENT	1955	African Hairy Bush Viper	Yes	Yes
Atheris katangensis	Viperidae, Viperinae, Serpentes (snakes)	Atheris	katangensis	DE WITTE	1953	Katanga Mountain Bush Viper	Yes	Yes
Atheris nitschei	Viperidae, Viperinae, Serpentes (snakes)	Atheris	nitschei	TORNIER	1902	Great Lakes Bush Viper	Yes	Yes
Atheris rungweensis	Viperidae, Viperinae, Serpentes (snakes)	Atheris	rungweensis	BOGERT	1940	Mt Rungwe bush viper	Yes	Yes
Atheris squamigera	Viperidae, Viperinae, Serpentes (snakes)	Atheris	squamigera	HALLOWELL	1854	Variable Bush Viper, African Bush Viper, Rough-scaled Bush Viper	Yes	Yes
Atractaspis aterrima	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	aterrima	GNTHER	1863	Mole Viper, Slender Burrowing Asp	Yes	No
Atractaspis bibronii	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	bibronii	SMITH	1849	Southern or Bibron's Burrowing Asp, Mole Viper	Yes	No
Atractaspis boulengeri	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	boulengeri	MOCQUARD	1897	Mole Viper	Yes	No
Atractaspis congica	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	congica	PETERS	1877	Congo Stiletto Snake	Yes	No
Atractaspis corpulenta	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	corpulenta	HALLOWELL	1854	Mole Viper	Yes	No
Atractaspis dahomeyensis	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	dahomeyensis	BOCAGE	1887	Mole Viper	Yes	No
Atractaspis duerdeni	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	duerdeni	GOUGH	1907	Duerden's Or Beaked Burrowing Asp	Yes	No
Atractaspis engaddensis	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	engaddensis	HAAS	1950	Israeli Mole Viper	Yes	No
Atractaspis engdahli	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	engdahli	LNNBERG & ANDERSSON	1913	Mole Viper	Yes	No
Atractaspis fallax	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	fallax	PETERS	1867	Peters Burrowing Asp, Mole Viper	Yes	No
Atractaspis irregularis	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	irregularis	REINHARDT	1843	Variable Burrowing Asp, Mole Viper	Yes	No
Atractaspis leucomelas	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	leucomelas	BOULENGER	1895	Ogaden Burrowing Asp, Mole Viper	Yes	No
Atractaspis microlepidota	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	microlepidota	GNTHER	1866	Small-Scaled Burrowing Asp	Yes	No
Atractaspis micropholis	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	micropholis	GNTHER	1872	Sahelian Burrowing Asp	Yes	No
Atractaspis reticulata	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	reticulata	SJSTEDT	1896	Mole Viper	Yes	No
Atractaspis scorteccii	Lamprophiidae, Atractaspidinae, Serpentes (snakes)	Atractaspis	scorteccii	PARKER	1949	Somali Burrowing Asp, Mole Viper	Yes	No
Atractus albuquerquei	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	albuquerquei	DA CUNHA & DO NASCIMENTO	1983	Albuquerque Ground Snake	No	No
Atractus alphonsehogei	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	alphonsehogei	DA CUNHA & DO NASCIMENTO	1983	Alphonse's Ground Snake	No	No
Atractus andinus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	andinus	PRADO	1944	Andean Ground Snake	No	No
Atractus arangoi	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	arangoi	PRADO	1939		No	No
Atractus badius	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	badius	BOIE	1827	Boie's Ground Snake, French Guyana Ground Snake	No	No
Atractus balzani	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	balzani	BOULENGER	1898	Bolivian Ground Snake	No	No
Atractus biseriatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	biseriatus	PRADO	1941	Two-lined Ground Snake	No	No
Atractus bocki	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	bocki	WERNER	1909	Bock's Ground Snake	No	No
Atractus bocourti	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	bocourti	BOULENGER	1894	Bocourt's Ground Snake	No	No
Atractus boettgeri	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	boettgeri	BOULENGER	1896	Boettger's Ground Snake	No	No
Atractus boulengerii	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	boulengerii	PERACCA	1896		No	No
Atractus carrioni	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	carrioni	PARKER	1930	Parker's Ground Snake	No	No
Atractus clarki	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	clarki	DUNN & BAILEY	1939	Clark's Ground Snake	No	No
Atractus collaris	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	collaris	PERACCA	1897	Collared Ground Snake	No	No
Atractus crassicaudatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	crassicaudatus	DUMRIL, BIBRON  & DUMRIL	1854	Thickhead Ground Snake	No	No
Atractus duidensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	duidensis	ROZE	1961	Venezuela Ground Snake	No	No
Atractus dunni	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	dunni	SAVAGE	1955	Dunn's Ground Snake	No	No
Atractus ecuadorensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	ecuadorensis	SAVAGE	1955	Ecuadorean Ground Snake	No	No
Atractus elaps	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	elaps	GNTHER	1858	Black Ground Snake	No	No
Atractus emigdioi	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	emigdioi	GONZALES-SPONGA	1971	Emigdios Ground Snake	No	No
Atractus emmeli	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	emmeli	BOETTGER	1888	Emmel's Ground Snake	No	No
Atractus erythromelas	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	erythromelas	BOULENGER	1903	Red-black Ground Snake	No	No
Atractus favae	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	favae	FILIPPI	1840	Filippi's Ground Snake	No	No
Atractus flammigerus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	flammigerus	BOIE	1827	Flaming Ground Snake	No	No
Atractus fuliginosus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	fuliginosus	HALLOWELL	1845	Hallowell's Ground Snake	No	No
Atractus gaigeae	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	gaigeae	SAVAGE	1955	Gaige's Ground Snake	No	No
Atractus guentheri	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	guentheri	WUCHERER	1861	Gnther's Ground Snake	No	No
Atractus indistinctus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	indistinctus	PRADO	1940	Indistinct Ground Snake	No	No
Atractus insipidus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	insipidus	ROZE	1961		No	No
Atractus iridescens	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	iridescens	PERACCA	1896	Iridescent Ground Snake	No	No
Atractus lancinii	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	lancinii	ROZE	1961	Lancini's Ground Snake	No	No
Atractus lasallei	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	lasallei	AMARAL	1931	Lasalle's Ground Snake	No	No
Atractus latifrons	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	latifrons	GNTHER	1868	Broadhead Ground Snake	No	No
Atractus lehmanni	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	lehmanni	BOETTGER	1898	Lehmann's Ground Snake	No	No
Atractus limitaneus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	limitaneus	AMARAL	1935	Limitan Ground Snake	No	No
Atractus loveridgei	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	loveridgei	AMARAL	1930	Loveridge's Ground Snake	No	No
Atractus maculatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	maculatus	GNTHER	1858	Spotted Ground Snake	No	No
Atractus major	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	major	BOULENGER	1894	Brown Ground Snake, Big Ground Snake	No	No
Atractus manizalesensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	manizalesensis	PRADO	1940		No	No
Atractus mariselae	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	mariselae	LANCINI	1969	Marisela's Ground Snake	No	No
Atractus melanogaster	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	melanogaster	WERNER	1916	Blackbelly Ground Snake	No	No
Atractus melas	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	melas	BOULENGER	1908	Dark Ground Snake	No	No
Atractus microrhynchus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	microrhynchus	COPE	1868		No	No
Atractus modestus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	modestus	BOULENGER	1894	Modest Ground Snake	No	No
Atractus multicinctus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	multicinctus	JAN	1865	Banded Ground Snake	No	No
Atractus nicefori	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	nicefori	AMARAL	1930	Northern Ground Snake	No	No
Atractus nigricaudus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	nigricaudus	SCHMIDT & WALKER	1943	Black-headed Ground Snake	No	No
Atractus nigriventris	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	nigriventris	AMARAL	1933	Black-ventered Ground Snake	No	No
Atractus obesus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	obesus	MARX	1960	Fat Ground Snake	No	No
Atractus obtusirostris	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	obtusirostris	WERNER	1916	Bignose Ground Snake	No	No
Atractus occidentalis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	occidentalis	SAVAGE	1955	Western Ground Snake	No	No
Atractus occipitoalbus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	occipitoalbus	JAN	1862	Gray Ground Snake	No	No
Atractus oculotemporalis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	oculotemporalis	AMARAL	1932	Hispanic Ground Snake	No	No
Atractus pamplonensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	pamplonensis	AMARAL	1937	Pamplona Ground Snake	No	No
Atractus pantostictus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	pantostictus	FERNANDES & PUORTO	1993		No	No
Atractus paravertebralis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	paravertebralis	HENLE & EHRL	1991		No	No
Atractus paucidens	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	paucidens	DESPAX	1910	Despax's Ground Snake	No	No
Atractus pauciscutatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	pauciscutatus	SCHMIDT & WALKER	1943	Little-scaled Ground Snake	No	No
Atractus peruvianus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	peruvianus	JAN	1862	Peru Ground Snake	No	No
Atractus poeppigi	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	poeppigi	JAN	1862	Basin Ground Snake	No	No
Atractus potschi	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	potschi	FERNANDES	1995		No	No
Atractus punctiventris	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	punctiventris	AMARAL	1933	Pointed Ground Snake	No	No
Atractus resplendens	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	resplendens	WERNER	1901	Resplendent Ground Snake	No	No
Atractus reticulatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	reticulatus	BOULENGER	1885	Reticulate Ground Snake	No	No
Atractus riveroi	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	riveroi	ROZE	1961	Rivero's Ground Snake	No	No
Atractus roulei	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	roulei	DESPAX	1910	Roule's Ground Snake	No	No
Atractus sanctaemartae	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	sanctaemartae	DUNN	1946	St. Marta's Ground Snake	No	No
Atractus sanguineus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	sanguineus	PRADO	1944	Bloody Ground Snake	No	No
Atractus schach	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	schach	BOIE	1827	Schach's Ground Snake	No	No
Atractus serranus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	serranus	AMARAL	1930	Sao Paulo Ground Snake	No	No
Atractus snethlageae	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	snethlageae	DA CUNHA & DO NASCIMENTO 	1983		No	No
Atractus steyermarki	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	steyermarki	ROZE	1958		No	No
Atractus taeniatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	taeniatus	GRIFFIN	1916		No	No
Atractus torquatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	torquatus	DUMRIL, BIBRON  & DUMRIL	1854	Neckband Ground Snake	No	No
Atractus trihedrurus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	trihedrurus	AMARAL	1926	Southern Ground Snake	No	No
Atractus trilineatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	trilineatus	WAGLER	1828	Three-lined Ground Snake	No	No
Atractus trivittatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	trivittatus	AMARAL	1933	Three-banded Ground Snake	No	No
Atractus univittatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	univittatus	JAN	1862	One-banded Ground Snake	No	No
Atractus variegatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	variegatus	PRADO	1942	Variegated Ground Snake	No	No
Atractus ventrimaculatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	ventrimaculatus	BOULENGER	1905	Speckled Ground Snake	No	No
Atractus vertebralis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	vertebralis	BOULENGER	1904	Vertebral Ground Snake	No	No
Atractus vertebrolineatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	vertebrolineatus	PRADO	1941	Striped Ground Snake	No	No
Atractus vittatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	vittatus	BOULENGER	1894		No	No
Atractus wagleri	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	wagleri	PRADO	1945	Wagler's Ground Snake	No	No
Atractus werneri	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	werneri	PERACCA	1912	Werner's Ground Snake	No	No
Atractus zidoki	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	zidoki	GASC & RODRIGUES	1979	Zidok's Ground Snake	No	No
Atretium schistosum	Natricidae, Colubroidea, Serpentes (snakes)	Atretium	schistosum	DAUDIN	1803	Split Keelback, Olive keelback wart snake	No	No
Atretium yunnanensis	Natricidae, Colubroidea, Serpentes (snakes)	Atretium	yunnanensis	ANDERSON	1879	Yunnan Olive Keelback	No	No
Atropoides nummifer	Viperidae, Crotalinae, Serpentes (snakes)	Atropoides	nummifer	RPPELL	1845	Jumping Pit Viper	Yes	Yes
Atropoides olmec	Viperidae, Crotalinae, Serpentes (snakes)	Atropoides	olmec	PEREZ-HIGAREDA, SMITH, JULIA-ZERTUCHE	1985	Olmecan Pit Viper	Yes	Yes
Atropoides picadoi	Viperidae, Crotalinae, Serpentes (snakes)	Atropoides	picadoi	DUNN	1939	Picado's Pit Viper	Yes	Yes
Austrelaps labialis	Elapidae, Serpentes (snakes)	Austrelaps	labialis	JAN	1859	Pygmy Copperhead	Yes	No
Austrelaps ramsayi	Elapidae, Serpentes (snakes)	Austrelaps	ramsayi	KREFFT	1864	Highlands Copperhead	Yes	No
Austrelaps superbus	Elapidae, Serpentes (snakes)	Austrelaps	superbus	GNTHER	1858	Lowlands Copperhead, Copperhead Snake	Yes	No
Azemiops feae	Viperidae, Azemiopinae, Serpentes (snakes)	Azemiops	feae	BOULENGER	1888	Fea Viper, Black-headed Burmese viper	Yes	Yes
Balanophis ceylonensis	Natricidae, Colubroidea, Serpentes (snakes)	Balanophis	ceylonensis	GNTHER	1858	Sri Lankan Keelback Blossom krait	No	No
Bitia hydroides	Homalopsidae, Serpentes (snakes)	Bitia	hydroides	GRAY	1842	Keel-bellied Water Snake	No	No
Bitis albanica	Viperidae, Viperinae, Serpentes (snakes)	Bitis	albanica	HEWITT	1937	Albany Adder	Yes	Yes
Bitis arietans	Viperidae, Viperinae, Serpentes (snakes)	Bitis	arietans	MERREM	1820	Puff Adder	Yes	Yes
Bitis armata	Viperidae, Viperinae, Serpentes (snakes)	Bitis	armata	SMITH	1826	Southern Adder	Yes	Yes
Bitis atropos	Viperidae, Viperinae, Serpentes (snakes)	Bitis	atropos	LINNAEUS	1758	Mountain Adder	Yes	Yes
Bitis caudalis	Viperidae, Viperinae, Serpentes (snakes)	Bitis	caudalis	SMITH	1839	Horned Adder	Yes	Yes
Bitis cornuta	Viperidae, Viperinae, Serpentes (snakes)	Bitis	cornuta	DAUDIN	1803	Many-horned Adder	Yes	Yes
Bitis gabonica	Viperidae, Viperinae, Serpentes (snakes)	Bitis	gabonica	DUMRIL, BIBRON  & DUMRIL	1854	Gaboon Adder	Yes	Yes
Bitis heraldica	Viperidae, Viperinae, Serpentes (snakes)	Bitis	heraldica	BOCAGE	1889	Angolan adder, Bocage's Horned Adder	Yes	Yes
Bitis inornata	Viperidae, Viperinae, Serpentes (snakes)	Bitis	inornata	SMITH	1838	Plain Mountain Adder, Hornless Adder	Yes	Yes
Bitis nasicornis	Viperidae, Viperinae, Serpentes (snakes)	Bitis	nasicornis	SHAW	1802	Rhinoceros Viper	Yes	Yes
Bitis parviocula	Viperidae, Viperinae, Serpentes (snakes)	Bitis	parviocula	BHME	1976	Ethiopian mountain adder, Ethiopia Viper	Yes	Yes
Bitis peringueyi	Viperidae, Viperinae, Serpentes (snakes)	Bitis	peringueyi	BOULENGER	1888	Peringuey's Adder, Dwarf Puff Adder	Yes	Yes
Bitis rubida	Viperidae, Viperinae, Serpentes (snakes)	Bitis	rubida	BRANCH	1997	Red Adder	Yes	Yes
Bitis schneideri	Viperidae, Viperinae, Serpentes (snakes)	Bitis	schneideri	BOETTGER	1886	Namaqua Dwarf Adder, Namaqua Puff Adder	Yes	Yes
Bitis worthingtoni	Viperidae, Viperinae, Serpentes (snakes)	Bitis	worthingtoni	PARKER	1932	Kenya Horned Viper	Yes	Yes
Bitis xeropaga	Viperidae, Viperinae, Serpentes (snakes)	Bitis	xeropaga	HAACKE	1975	Desert Mountain Adder	Yes	Yes
Blythia reticulata	Colubridae, incertae sedis, Colubroidea, Serpentes (snakes)	Blythia	reticulata	BLYTH	1854	Blyth's Reticulate Snake	No	No
Boa constrictor	Boidae (Boinae), Henophidia, Serpentes (snakes)	Boa	constrictor	LINNAEUS	1758	Boa Constrictor	No	Yes
Acrantophis dumerili	Boidae (Sanziniinae, Sanziniidae), Henophidia, Serpentes (snakes)	Acrantophis	dumerili	JAN	1860	Dumeril's boa	No	Yes
Acrantophis madagascariensis	Boidae (Sanziniinae, Sanziniidae), Henophidia, Serpentes (snakes)	Acrantophis	madagascariensis	DUMRIL & BIBRON	1844	Madagascar ground boa	No	Yes
Sanzinia madagascariensis	Boidae (Sanziniinae, Sanziniidae), Henophidia, Serpentes (snakes)	Sanzinia	madagascariensis	DUMRIL & BIBRON	1844	Madagascar ground boa, Madagascar Tree Boa	No	Yes
Bogertophis rosaliae	Colubridae, Colubrinae, Lampropeltini, Colubroidea, Serpentes (snakes)	Bogertophis	rosaliae	MOCQUARD	1899	Baja California Rat Snake	No	No
Bogertophis subocularis	Colubridae, Colubrinae, Lampropeltini, Colubroidea, Serpentes (snakes)	Bogertophis	subocularis	BROWN	1901	subocular	No	No
Boiga andamanensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	andamanensis	WALL	1909	Andaman Cat Snake	Yes	No
Boiga angulata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	angulata	PETERS	1861	Philippine Blunt-headed Cat Snake, Leyte Cat Snake	Yes	No
Boiga barnesii	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	barnesii	GNTHER	1869		Yes	No
Boiga beddomei	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	beddomei	WALL	1909	Beddome's Cat Snake	Yes	No
Boiga ceylonensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	ceylonensis	GNTHER	1858	Sri Lanka Cat Snake	Yes	No
Boiga cyanea	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	cyanea	DUMRIL, BIBRON  & DUMRIL	1854	Green Cat Snake	Yes	No
Boiga cynodon	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	cynodon	BOIE	1827	Dog-toothed Cat Snake	Yes	No
Boiga dendrophila	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	dendrophila	BOIE	1827	Gold-ringed Cat Snake, Mangrove Snake	Yes	No
Boiga dightoni	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	dightoni	BOULENGER	1894	Pirmad Cat Snake	Yes	No
Boiga drapiezii	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	drapiezii	BOIE	1827	White-spotted Cat Snake, Drapiezs Cat Snake	Yes	No
Boiga forsteni	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	forsteni	DUMRIL, BIBRON  & DUMRIL	1854	Forsten's Cat Snake	Yes	No
Boiga gokool	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	gokool	GRAY	1835	Arrowback Tree Snake	Yes	No
