Atractus oculotemporalis	Colombia
Atractus pamplonensis	Colombia
Atractus pamplonensis	Venezuela
Atractus pantostictus	Brazil
Atractus paravertebralis	Peru
Atractus paucidens	Ecuador
Atractus pauciscutatus	Peru
Atractus peruvianus	Peru
Atractus poeppigi	Brazil
Atractus poeppigi	Colombia
Atractus poeppigi	Peru
Atractus potschi	Brazil
Atractus punctiventris	Colombia
Atractus resplendens	Ecuador
Atractus reticulatus	Brazil
Atractus reticulatus	Colombia
Atractus reticulatus	Argentina
Atractus reticulatus	Paraguay
Atractus reticulatus	Uruguay
Atractus riveroi	Venezuela
Atractus roulei	Ecuador
Atractus sanctaemartae	Colombia
Atractus sanguineus	Colombia
Atractus schach	Brazil
Atractus schach	Peru
Atractus serranus	Brazil
Atractus snethlageae	Brazil
Atractus snethlageae	Colombia
Atractus snethlageae	Argentina
Atractus snethlageae	Peru
Atractus snethlageae	Ecuador
Atractus snethlageae	Bolivia
